Region,TownSize,Gender,Age,EducationYears,JobCategory,UnionMember,EmploymentLength,Retired,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,X,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,NumberCats,NumberDogs,NumberBirds,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonth,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber,TotalOverTenure,TotalByTenure,TotalLastMonth,TotalServices,TotalDevices,LastMonthGroup,CardSpendGroup,TenureGroup,segment,CustomerValue,probValue,ValueGroup,kmeans_segment
2,4,Male,70,17,Sales,Yes,2,No,28000,9.3,1.195236,1.408764,NA,No,Married,2,9,0,0,1,0,5,Own,Domestic," $ 15,700.00 ",29,Yes,Yes,AMEX,26,8,2677.1,Yes,59,42.75,805.8,No,0,0,Yes,No,0,0,Yes,No,Yes,3,No,Yes,No,Yes,No,21,Yes,No,Yes,No,No,805.8,13.657627118644067,42.75,4,4,Low,Low,Long,2,Low,0.8570293210307401,High,2
4,1,Male,61,14,Labor,No,18,Yes,12000,21.5,0.56502,2.01498,NA,No,Unmarried,1,0,0,0,0,1,3,Own,Domestic," $ 5,800.00 ",25,Yes,No,AMEX,24,10,2450.3,No,61,25.05,476.95,Yes,29.1,1790.8,Yes,No,0,0,No,No,No,3,No,Yes,No,No,No,13,Yes,No,Yes,No,No,2267.75,37.17622950819672,54.150000000000006,2,3,Low,Low,Long,2,Low,0.7415014471917767,High,2
3,4,Male,37,11,Professional,Yes,2,No,29000,15.7,3.319137,1.233863,NA,Yes,Unmarried,1,0,0,0,0,0,0,-1,-1," $ (1,000.00)",29,No,No,Othe,12,17,5566.1,Yes,39,39.3,504.45,Yes,43.5,1663.95,Yes,Yes,31.5,1199.2,Yes,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,21,Yes,Yes,Yes,No,Yes,3367.6000000000004,86.34871794871796,114.3,9,5,High,High,Short,7,High,0.12013574595431356,Low,2
1,3,Male,39,12,Professional,No,5,No,130000,11.3,4.68611,10.00389,NA,No,Married,4,5,0,0,0,1,2,Own,Domestic," $ 49,200.00 ",32,Yes,Yes,Disc,2,12,4537.4,No,6,4.5,11.15,No,0,0,Yes,No,0,0,No,No,No,Yes,Yes,No,Yes,Yes,No,32,Yes,Yes,No,No,No,11.15,1.8583333333333334,4.5,4,3,Low,Low,Short,1,Low,0.9998276842382176,High,1
4,3,Female,73,14,Service,No,28,Yes,69000,14.8,1.164168,9.047832,NA,No,Married,2,0,0,0,0,0,1,Own,Foreign," $ 22,800.00 ",27,No,No,Visa,32,6,2126.7,No,62,76.35,1565.6,Yes,47.15,2874.15,Yes,Yes,53.2,3245.6,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,No,Yes,7685.35,123.95725806451614,176.7,9,5,High,Low,Long,6,High,0.002585038116388125,Low,2
5,4,Female,26,16,Sales,No,0,No,24000,11.7,1.297296,1.510704,NA,Yes,Married,6,1,0,1,0,0,4,Lease,Domestic," $ 9,800.00 ",27,Yes,No,Disc,8,14,4476.7,Yes,26,17.4,149.4,Yes,27.05,728.55,Yes,No,0,0,Yes,No,No,4,No,No,No,No,Yes,17,Yes,Yes,Yes,Yes,No,877.9499999999999,33.76730769230769,44.45,2,5,Low,Low,Short,1,Low,0.9849955150866593,High,1
2,1,Female,24,17,Labor,No,1,No,29000,14,1.39258,2.66742,NA,Yes,Unmarried,1,12,0,1,0,1,0,-1,-1," $ (1,000.00)",14,No,Yes,Disc,5,11,2799.5,Yes,11,11.850000000000001,42.4,Yes,19.650000000000002,172.75,No,No,0,0,No,No,No,No,No,No,No,No,No,13,No,Yes,Yes,No,No,215.15,19.55909090909091,31.500000000000004,1,3,Low,Low,Short,1,Low,0.999526704659303,High,1
3,1,Female,77,15,Professional,No,26,Yes,11000,10.2,0.255816,0.866184,NA,No,Unmarried,1,2,0,2,0,1,2,Own,Domestic," $ 3,100.00 ",21,Yes,No,Visa,39,10,1949.5,Yes,72,268.35,6495.7,No,0,0,Yes,No,0,0,Yes,No,No,No,Yes,Yes,No,No,No,23,No,No,No,No,Yes,6495.7,90.21805555555555,268.35,3,1,High,Low,Long,6,High,4.74580605700205e-6,Low,2
5,3,Male,36,19,Professional,Yes,3,No,30000,15.5,0.41385,4.23615,NA,No,Unmarried,1,7,0,0,0,1,3,Own,Domestic," $ 13,100.00 ",24,Yes,Yes,AMEX,10,11,3009.7,No,37,20.1,233.85000000000002,No,0,0,No,No,0,0,No,No,No,2,No,No,No,No,No,15,Yes,Yes,Yes,No,No,233.85000000000002,6.320270270270271,20.1,0,4,Low,Low,Short,1,Low,0.9951165690395658,High,1
3,5,Male,55,14,Service,No,23,No,80000,6.5,0.0312,5.1688,NA,No,Unmarried,1,9,2,0,0,1,4,Own,Domestic," $ 35,000.00 ",25,No,No,Visa,21,11,3940.2,No,47,36.75,524.4,No,0,0,Yes,No,0,0,No,No,No,No,No,No,Yes,Yes,No,25,Yes,No,Yes,No,Yes,524.4,11.157446808510638,36.75,2,3,Low,Low,Long,2,Low,0.934477875712494,High,1
2,2,Female,60,18,Professional,No,13,No,51000,7.8,1.209312,2.768688,NA,No,Married,2,2,2,0,0,0,2,Own,Domestic," $ 25,200.00 ",26,Yes,No,Disc,38,9,1124.7,Yes,71,109.05,2586.8500000000004,Yes,55.15,4064.25,Yes,Yes,55.8,3819.5,Yes,Yes,Yes,4,No,No,Yes,No,Yes,20,Yes,Yes,Yes,Yes,Yes,10470.6,147.47323943661974,220,6,6,High,Low,Long,6,High,1.4770257753020095e-4,Low,2
1,1,Female,59,8,Sales,Yes,4,No,30000,2.8,0.26292,0.57708,NA,No,Married,4,1,0,1,0,0,0,-1,-1," $ (1,000.00)",15,Yes,No,Visa,2,11,3421.7,No,3,16.5,19.35,No,0,0,Yes,No,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,29,No,No,No,No,No,19.35,6.45,16.5,4,1,Low,Low,Short,1,Low,0.9998779279726716,High,1
1,1,Male,28,11,,Yes,1,No,17000,8.2,0.150552,1.243448,NA,Yes,Married,6,1,1,0,0,0,3,Own,Domestic," $ 8,200.00 ",23,Yes,Yes,Mast,7,10,3811.4,Yes,16,23.55,116.3,No,0,0,No,No,0,0,No,No,No,No,No,No,Yes,No,No,30,No,No,Yes,No,No,116.3,7.26875,23.55,1,2,Low,Low,Short,1,Low,0.9990144923159499,High,1
3,3,Male,53,20,Sales,No,11,No,141000,9.9,9.589833,4.369167,NA,No,Married,3,1,0,1,0,1,0,-1,-1," $ (1,000.00)",23,Yes,Yes,Disc,13,11,4459,No,36,10.2,122,Yes,49.25,1693.6,Yes,Yes,61.25,2209.2,Yes,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes,Yes,No,4024.7999999999997,111.8,120.7,9,6,High,Low,Short,5,Low,0.2096250482505918,Low,2
4,5,Male,36,12,Sales,No,5,No,45000,8.3,0.88893,2.84607,NA,Yes,Unmarried,2,3,0,0,3,0,3,Own,Domestic," $ 21,200.00 ",26,Yes,Yes,Disc,13,13,4611.5,No,38,20.25,244.7,Yes,27.4,1123.6,No,No,0,0,Yes,No,No,3,No,No,No,No,Yes,29,Yes,Yes,Yes,No,No,1368.3,36.007894736842104,47.65,2,4,Low,Low,Short,1,Low,0.9302456691222999,High,1
3,1,Male,47,20,Crafts,No,17,No,137000,13.7,3.303344,15.465656,NA,No,Married,2,2,2,0,0,1,1,Own,Foreign," $ 78,100.00 ",21,No,Yes,AMEX,29,8,4161.2,No,69,66.14999999999999,1473.3,Yes,44.849999999999994,2973,Yes,Yes,36.449999999999996,2475.25,Yes,Yes,Yes,3,No,Yes,No,No,Yes,22,Yes,Yes,Yes,No,Yes,6921.55,100.3123188405797,147.45,6,5,High,Low,Long,6,High,0.00178682067871276,Low,2
5,2,Male,75,11,Sales,No,2,Yes,10000,2.4,0.03888,0.20112,NA,No,Unmarried,1,1,1,0,0,0,1,Own,Domestic," $ 4,900.00 ",24,No,No,Disc,23,17,1972.7,No,46,59.4,884.75,No,0,0,Yes,No,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,21,Yes,No,No,No,Yes,884.75,19.233695652173914,59.4,4,2,Low,Low,Long,2,Low,0.9374059294953251,High,2
2,3,Female,49,22,Professional,Yes,3,No,73000,9.2,1.437224,5.278776,NA,No,Married,5,13,2,0,0,1,1,Own,Foreign," $ 33,900.00 ",19,No,Yes,Disc,13,4,782.2,Yes,31,21,238,Yes,57.25,1740.25,No,Yes,62.3,1879.25,Yes,Yes,Yes,4,No,No,No,No,Yes,22,Yes,Yes,Yes,Yes,No,3857.5,124.43548387096774,140.55,5,6,High,Low,Short,5,Low,0.6016483829987023,High,2
1,1,Female,59,13,Professional,No,15,No,63000,6,0.59346,3.18654,NA,No,Unmarried,1,0,0,0,0,0,1,Own,Domestic," $ 36,200.00 ",16,Yes,No,Disc,13,9,2835.9,No,41,39,479,No,0,0,Yes,Yes,19.35,764.3499999999999,No,No,No,2,Yes,Yes,Yes,Yes,No,13,Yes,Yes,Yes,Yes,No,1243.35,30.32560975609756,58.35,5,5,Low,Low,Long,2,Low,0.9409877089027021,High,1
1,2,Female,55,12,Service,No,10,No,50000,5.1,1.0863,1.4637,NA,No,Married,3,0,0,0,0,1,2,Own,Domestic," $ 31,800.00 ",21,Yes,No,AMEX,22,11,5011.1,No,49,27.9,465.5,No,0,0,Yes,No,0,0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,29,No,No,No,No,Yes,465.5,9.5,27.9,5,1,Low,High,Long,4,High,0.9062704372707633,High,1
5,2,Male,25,14,Professional,No,1,No,50000,10.5,1.218,4.032,NA,Yes,Unmarried,5,1,0,1,0,0,0,-1,-1," $ (1,000.00)",15,No,Yes,Disc,7,11,3919.7,Yes,46,43.349999999999994,659.3499999999999,Yes,29.75,1319.5,Yes,No,0,0,Yes,Yes,No,2,No,No,No,No,No,22,Yes,No,Yes,No,Yes,1978.85,43.018478260869564,73.1,3,3,High,Low,Long,6,High,0.6622747943432217,High,2
5,4,Male,78,11,Service,No,30,Yes,28000,9.8,1.635424,1.108576,NA,No,Married,2,9,0,0,0,0,2,Own,Domestic," $ 15,800.00 ",34,No,Yes,Visa,14,5,1637.2,No,31,15,133.35000000000002,No,0,0,Yes,No,0,0,No,No,No,No,No,No,No,No,No,20,No,No,No,No,Yes,133.35000000000002,4.3016129032258075,15,0,1,Low,Low,Short,1,Low,0.9992135349973595,High,1
1,1,Female,48,11,Sales,No,2,No,23000,18.7,2.051577,2.249423,NA,Yes,Unmarried,2,9,0,0,0,1,2,Own,Domestic," $ 9,300.00 ",23,No,No,Othe,11,11,2680.9,Yes,23,19.5,169.8,No,0,0,Yes,Yes,19.7,387.9,No,No,No,Yes,Yes,Yes,Yes,Yes,No,28,Yes,No,No,No,No,557.7,24.247826086956525,39.2,6,2,Low,Low,Short,1,Low,0.9974314183668985,High,1
5,1,Male,47,19,Sales,No,1,No,75000,2.2,0.1023,1.5477,NA,No,Married,2,6,0,0,0,0,1,Own,Foreign," $ 46,100.00 ",22,No,Yes,AMEX,15,14,3336.8,No,21,18.45,141.25,Yes,26.35,516.3,Yes,No,0,0,No,No,No,No,No,No,No,No,Yes,19,Yes,Yes,No,No,No,657.55,31.31190476190476,44.8,1,3,Low,Low,Short,1,Low,0.9956805054410994,High,1
5,1,Male,75,10,Sales,No,11,No,28000,3.3,0.394548,0.529452,NA,No,Married,2,0,0,0,0,1,1,Own,Domestic," $ 13,800.00 ",20,Yes,No,AMEX,3,10,4535.2,No,16,12.9,75,No,0,0,No,No,0,0,No,No,No,No,No,Yes,No,No,No,12,No,No,No,No,No,75,4.6875,12.9,1,1,Low,Low,Short,1,Low,0.9991575086073925,High,1
3,1,Female,43,19,Sales,No,4,No,33000,12.6,2.116422,2.041578,NA,No,Married,2,5,0,0,0,1,1,Own,Foreign," $ 17,200.00 ",22,Yes,Yes,Disc,9,14,2724.4,Yes,27,19.95,201.55,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,No,18,No,No,Yes,No,No,201.55,7.464814814814815,19.95,0,2,Low,Low,Short,1,Low,0.9986540865088882,High,1
5,5,Male,45,10,Labor,No,15,No,44000,13.6,0.98736,4.99664,NA,No,Married,5,1,1,0,0,1,1,Own,Foreign," $ 30,900.00 ",39,Yes,No,Mast,27,9,2837.2,Yes,62,48.449999999999996,1016.8499999999999,No,0,0,Yes,No,0,0,Yes,No,No,No,No,No,No,No,No,13,No,No,No,No,No,1016.8499999999999,16.4008064516129,48.449999999999996,1,1,Low,Low,Long,2,Low,0.736504538675179,High,2
5,4,Male,21,16,Service,No,0,No,31000,9.2,0.77004,2.08196,NA,Yes,Unmarried,1,6,1,0,0,0,2,Own,Domestic," $ 16,000.00 ",25,No,Yes,Disc,3,9,1965.6,Yes,13,14.25,47.55,No,0,0,No,No,0,0,No,No,No,Yes,No,No,No,No,No,17,Yes,No,Yes,No,No,47.55,3.6576923076923076,14.25,1,3,Low,Low,Short,1,Low,0.9998722772591275,High,1
2,1,Male,53,21,Service,No,19,No,284000,9.4,15.456984,11.239016,NA,Yes,Unmarried,1,2,0,0,2,1,2,Own,Domestic," $ 92,400.00 ",29,Yes,Yes,Disc,30,12,10103.4,No,48,40.05,661.55,No,0,0,Yes,Yes,57.05,2716.6,Yes,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,13,Yes,Yes,Yes,Yes,Yes,3378.1499999999996,70.378125,97.1,8,6,High,High,Long,8,High,0.0075951320387641135,Low,3
3,3,Female,30,13,Labor,No,8,No,49000,2.1,0.193452,0.835548,NA,No,Unmarried,1,2,2,0,0,1,3,Own,Domestic," $ 28,800.00 ",34,No,Yes,Visa,2,12,2215.6,No,3,12.15,11.15,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,Yes,18,No,Yes,Yes,No,No,11.15,3.716666666666667,12.15,0,3,Low,Low,Short,1,Low,0.9999559580594742,High,1
2,1,Female,58,19,Labor,No,18,Yes,15000,7.6,0.08436,1.05564,NA,No,Unmarried,1,4,0,0,0,0,1,Own,Foreign," $ 9,200.00 ",20,No,Yes,Mast,19,4,650.8,No,42,49.65,710.9499999999999,No,0,0,Yes,No,0,0,No,No,No,2,No,Yes,No,Yes,No,16,Yes,Yes,No,No,No,710.9499999999999,16.92738095238095,49.65,2,3,Low,Low,Long,2,Low,0.9895802699795463,High,1
2,2,Male,35,11,Professional,Yes,5,No,17000,2.3,0.254932,0.136068,NA,Yes,Married,4,4,0,0,0,1,1,Own,Foreign," $ 11,400.00 ",24,No,No,Disc,17,12,1921.9,Yes,48,38.7,555.75,No,0,0,Yes,No,0,0,Yes,No,No,No,No,No,Yes,No,No,26,Yes,No,No,No,Yes,555.75,11.578125,38.7,2,2,Low,Low,Long,2,Low,0.9763032360022992,High,1
3,2,Female,48,14,Professional,No,14,No,83000,11.3,4.820806,4.558194,NA,No,Married,2,7,0,1,0,1,1,Own,Foreign," $ 36,000.00 ",26,Yes,No,Disc,12,8,2204.6,Yes,37,16.8,221.2,Yes,49.849999999999994,1886.7,Yes,Yes,50,1710.1499999999999,Yes,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,Yes,No,3818.05,103.19054054054054,116.64999999999999,9,6,High,Low,Short,5,Low,0.5576705368217875,High,2
3,3,Female,57,15,,No,8,No,82000,34.2,1.12176,26.92224,NA,Yes,Unmarried,1,0,0,0,0,1,4,Own,Foreign," $ 53,200.00 ",18,No,No,Mast,9,12,3718.1,Yes,18,17.25,107.95,No,0,0,No,Yes,21,351.7,No,Yes,No,2,Yes,No,No,Yes,No,12,Yes,Yes,Yes,No,No,459.65,25.53611111111111,38.25,4,4,Low,Low,Short,1,Low,0.9972899295511244,High,1
4,1,Female,61,20,Service,No,11,No,62000,2.3,0.537602,0.888398,NA,No,Married,4,2,0,2,0,1,0,-1,-1," $ (1,000.00)",23,No,Yes,AMEX,12,10,4158,Yes,30,16.8,174.05,No,0,0,Yes,No,0,0,No,No,No,No,No,Yes,Yes,Yes,Yes,18,No,Yes,No,No,No,174.05,5.801666666666667,16.8,3,2,Low,Low,Short,1,Low,0.9961246208432587,High,1
5,4,Female,56,19,Professional,No,6,No,138000,7,4.47258,5.18742,NA,No,Married,2,0,0,0,0,0,5,Own,Domestic," $ 67,800.00 ",19,No,Yes,Disc,35,10,6938,Yes,66,66.14999999999999,1442.05,Yes,48.05,3054.8,Yes,Yes,60.5,4054.25,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,14,Yes,Yes,Yes,Yes,Yes,8551.1,129.5621212121212,174.7,9,6,High,High,Long,8,High,8.770871468264384e-5,Low,2
